"genes","logFC","logCPM","PValue","FDR"
"SNX24",-0.182090562270658,3.12031637582856,0.000647673789906189,0.00199023860007458
"SRL",-0.394932633591728,9.66724665411795,0.000648452184425128,0.00199196742576651
"NGDN",0.158558269443638,4.72179449752271,0.000653069429838411,0.00200548366827624
"PI4KB",0.140233159185827,6.32351879350222,0.000656005641417788,0.00201383042099355
"SNX5",-0.176620860623379,6.11151242073106,0.000656423618465403,0.00201387302361848
"GLT1D1",-0.765324444195434,3.33108137366396,0.000656455847477846,0.00201387302361848
"EIF2D",-0.160852145566705,5.61429955956036,0.000659030886529634,0.00202110103440367
"USP48",-0.164812280875646,5.42515809195941,0.000661603135504827,0.00202831569041682
"MTHFD2",0.399088302932328,5.55234174089721,0.000662064392060628,0.00202905591072764
"DDX21",0.281839153841783,6.54290861114787,0.000663055895781739,0.00203142017058123
"AHCYL1",0.208457254207389,7.20446095132017,0.000664182217411468,0.00203419576938463
"SPTBN1",0.370392691344878,8.27159566844982,0.000665440724195666,0.00203737423716424
"TRIM35",0.23790910379042,3.44380068593342,0.000668399362243822,0.00204562006746174
