"genes","logFC","logCPM","PValue","FDR"
"BORCS8",0.0849203628636866,3.91976490765789,0.0756687933006772,0.0923817789920052
"LZTS3",0.0980998874127748,4.31989819870396,0.0758720412402463,0.0926176689617447
"FAM104A",0.0625413565322456,3.7009816800406,0.0761559238096423,0.0929519149394167
"ELOB",0.105150817680728,6.78451202936553,0.0763955942180861,0.0932321166350017
"BOC",-0.170455814691601,4.0208267904856,0.0764095480364061,0.0932368192893674
"C1orf115",-0.182148055889627,3.82168507376345,0.0765721769688235,0.0934229137720341
"SPTSSA",-0.11383005256871,4.79781866859791,0.0767165516522995,0.0935866906703286
"CLDN5",0.20897984946662,5.60355030503243,0.0770586147852445,0.0939915529971713
"SMAD9",0.206777819403994,4.30066144197142,0.0776816996399542,0.0947390367784935
"CGNL1",0.247621801331227,1.88738572259519,0.0777137830152756,0.0947614918239872
"GID4",-0.0761643952589766,5.39347296806317,0.0777206428988633,0.0947614918239872
"FHL3",-0.198827267699044,9.89031487749975,0.077910843239949,0.0949808497025844
"LNX1",0.132742320918055,2.47099737869221,0.0780820048965382,0.0951769427175418
"RUFY3",0.0866558571810991,5.42779676598823,0.0781895469741342,0.0952954460150823
"ANKRD50",-0.175407527025686,3.16077155200008,0.0785075071053253,0.0956703363814202
"TCP11L2",-0.121017271523123,4.17452796334176,0.0787951450877315,0.0960081816664268
"ARHGAP10",0.0763253248193113,5.92742172159217,0.0788534771396778,0.0960665761483919
"HFE2",-0.165409104816498,8.37189463989747,0.0789389363893914,0.0961579997110679
"SRSF10",0.0761573647667362,5.89704487984915,0.0790282999199792,0.0962541544479916
"TUBB6",-0.244543768584579,4.41546901760906,0.0790967008310877,0.0963247553260911
"RSAD1",-0.0657698111514323,6.11360756056502,0.0799228462859307,0.0973180047573442
"TOR3A",0.113389253654023,4.64388623963546,0.0801297798525232,0.0975571086545294
"SDF2",0.069119144222353,4.06431869697309,0.0805132978828732,0.0980111107420285
"USP5",0.0766374449853334,6.58438503199598,0.0805253747145341,0.0980128868657521
"R3HDM2",-0.0663886508407519,6.01564875253807,0.0808223851148621,0.0983614287403154
"UBR1",-0.0632972660403934,5.63917961974314,0.0809280004323688,0.0984716393237409
"GSK3A",0.0579254823862229,5.97181407210728,0.0809342787941959,0.0984716393237409
"TRIM22",0.1776875445098,4.25202017394857,0.0814162123025486,0.0990449467270462
"THBD",0.270888697521077,6.19812340509297,0.0816762310063546,0.0993481734641797
"TNIP1",-0.0790906440186701,7.92359786650199,0.0819576136922967,0.0996773032929633
"ZNF260",0.0891363349280275,2.94353145285132,0.0820285269285984,0.0997480163845709
"MPDU1",0.0878351018286182,3.99352721694365,0.0820373676082398,0.0997480163845709
"DMXL2",0.179162899684956,2.87119961701838,0.0820484545132559,0.0997483581735632
"MAP1LC3B",0.0767293138458016,7.67470263207477,0.082194999918765,0.0999133584738108
"BCL9L",-0.126349287168668,5.93074205883915,0.0824295887211853,0.100185323697862
"SPTY2D1",0.056162068505431,4.43111506839743,0.0825761049187542,0.100350187533573
"CA4",-0.214836225729619,2.51153496733196,0.0829661312777785,0.100810893487584
"TRPM2",-0.217268396891116,0.716984360238772,0.0832205995561126,0.101106785272766
"MAPKAPK5",0.0400732513534031,4.9709081375991,0.0837459435917418,0.101722152043597
"ZNF549",0.0770694160519174,2.86983575670448,0.0837491447872755,0.101722152043597
"ANKAR",0.0808829223949455,2.09588272037613,0.0838866557142146,0.101875768832774
"PLEKHG1",0.160601985589768,3.68412557555452,0.0839722943756576,0.101966357456156
"PKNOX1",-0.0683212195354003,4.28386829400161,0.0841658175090221,0.102187907592501
"CCDC36",-0.145478974103199,0.974881160912477,0.084180422311926,0.102192198627221
"VRK2",0.0641733376716496,3.56066769215095,0.0842238032837367,0.10223141724026
"6-Mar",0.0577539942980728,7.64230497517897,0.0846745851929186,0.10276506651536
"TRMT11",0.0782862407521092,3.46571647814325,0.084732174780732,0.102821441488226
"GTPBP3",-0.077441461519083,3.6069222499152,0.0847758809738902,0.102860956528651
"SPTAN1",0.128751032746757,6.60877444003857,0.0847901131831756,0.102864704270455
"WDR60",0.0863354017284524,5.06848563824767,0.0849307322057978,0.103021759394444
"CHD6",-0.0933062152959825,5.27184433772952,0.0851817269595406,0.103300472554913
"LZTS2",0.095404509047713,5.75128143770405,0.0851828834457806,0.103300472554913
"CDS2",0.081199204096281,5.4220140447095,0.0853231163153275,0.10345694032665
"ZFP30",-0.094962073627587,2.47871560534711,0.085414113759968,0.103553675350442
"XXYLT1",-0.166350752666543,1.79921165398334,0.0856032341935763,0.103769330904912
"UBE2R2",-0.0549444437861042,6.81132885883421,0.085745961752425,0.103928699177604
"SPATA5L1",-0.0677064263443134,3.60631234913284,0.0858888752329104,0.104088250922279
"ARMCX4",0.147602630607955,4.00608675426897,0.0859475723211221,0.104145712798146
"KATNAL1",-0.084962585858943,4.17749451241,0.0860434204816139,0.104248170949702
"NT5C3A",-0.111286047318953,5.57387779062687,0.0865757630122971,0.104879379050724
"HSPG2",0.146418572556181,8.14319554578714,0.086987918428117,0.105364843853818
"HGSNAT",0.0975770723505166,5.32389908254499,0.0870195957357954,0.105389384444651
"DDX24",0.0661327388891888,7.21946427542807,0.0871083925700504,0.10548308694925
"ZNF616",0.0924234878673509,2.1469746942559,0.0871314774441118,0.105487215363506
"COL14A1",-0.319348483572844,4.6980253882106,0.0871346568244753,0.105487215363506
"HSPB8",0.12665914568576,9.56616735464737,0.08716886389557,0.105514789223709
"AGBL5",0.0895605533558359,3.41211649545548,0.0880579193592882,0.106576983559144
"TPCN1",-0.079402919158299,6.43074970636402,0.0882754796645635,0.106826291660145
"NQO2",0.12586295763724,5.99329833338629,0.0883013435780877,0.106843584030584
"CUX1",0.0524327002161365,6.94857823286936,0.0883198190430348,0.106851933104358
"AGPS",0.0654370597698487,5.20139675285723,0.088384665877986,0.106916374095097
"SLC6A6",0.129606547932761,6.67406729517677,0.0887694958208709,0.107367821792775
"CAP2",-0.131541501439885,9.09685750278626,0.0890946018600472,0.107746923853019
"CBLL1",-0.0643484755847324,5.14176499722105,0.0892906700224088,0.107969894547663
"GAS2L3",0.232904232364701,0.0828868039969639,0.0894220894066293,0.108114644048801
"PVR",-0.154233812110312,5.11576223056089,0.0896296222548489,0.10834464284738
"ZNF460",0.131967630622075,1.85492410965742,0.0896357964928439,0.10834464284738
"ZNF620",-0.0806163055917961,1.14640970063126,0.0908172742301892,0.109758347528002
"MAPK14",-0.0489740242762679,5.83470031438211,0.0914128948319399,0.110463729832915
"ABCC1",-0.0992488653777881,6.13817022648327,0.0916843830721828,0.110777295829754
"SPATS2",0.0758987509176121,4.09119817828823,0.0921777714025474,0.111358854576222
"EMC3",0.0846977939633715,6.83904218828845,0.0923531106767508,0.111556080169731
"VGLL3",0.214246910899228,3.5949982703335,0.0924987485517559,0.111717381640882
"CUBN",-0.156463553647552,1.33814255317465,0.092756070272457,0.11201351186356
"WDR61",-0.0596093558144251,4.83379773388841,0.0929744957173281,0.112262599080007
"NSF",0.0862422806574719,5.33228537520907,0.0930866962335759,0.112383376004727
"NLK",-0.0590854543753899,3.64373556903639,0.0932474925321319,0.112562783256716
"A2M",0.132912137951718,8.17029070558056,0.0932679032984892,0.112572700751615
"ITGB3BP",0.115294288366174,2.28309227296196,0.0934055893596158,0.112724146343132
"EXOC6B",-0.0611084894738812,4.94274938774638,0.0936505360383668,0.113004980152963
"SMIM7",-0.0822974219188315,4.59398861911529,0.094406290643642,0.113902034888441
"IL1RAP",-0.183311336111096,1.57821798180403,0.0945394954399092,0.114047841401699
"DUSP16",-0.0776996662128069,4.97862202271334,0.0946723789419067,0.114193222267443
"CTSC",0.192208308779343,3.98797216337154,0.0951449282642231,0.114748214372491
"BAZ2B",0.104997364486554,5.4685341584883,0.0953057262288074,0.11492712721334
"PALLD",-0.095560932625076,8.40411648988026,0.0953568547682191,0.114973762586916
"GMNN",-0.0927470270901439,1.95702706946186,0.0957588965811825,0.115443434026498
"LHPP",-0.10811025766628,2.90969687780994,0.0958288948193876,0.115512735450218
"SPG11",-0.057270193823285,5.76468641800012,0.0964580664605429,0.116255961809279
"CAMSAP2",0.0908801081966778,5.2729842378969,0.0965600480883454,0.116363681971738
"SETDB2",0.105436443161829,2.92091567338965,0.0973215803283281,0.11726608902373
"ALDH1B1",-0.155019373745185,6.0515194021972,0.097341025849363,0.117274211643888
"ALKBH1",0.0480886283823696,3.59748005566873,0.0974376805779669,0.117375339868878
"SNX19",-0.0681785048184144,6.30811534171777,0.0975659725659048,0.117507442818455
"CLCC1",-0.0534433676771151,4.84556187311287,0.0975728035102872,0.117507442818455
"CECR2",0.117594171876814,6.16664545756607,0.0977881611844402,0.117751436980638
"FBXL18",-0.0848278355455227,2.83522114578741,0.0979021422471113,0.117873310953839
"DAAM2",0.151209799382779,6.44209450234527,0.0979921009340131,0.117966234183865
"NDUFV3",-0.085065769962437,6.72896362289188,0.0981299076187204,0.11811672672166
"CORO2B",-0.15584566569437,2.40338992514288,0.0981670283953598,0.118146002492512
"PTPRM",-0.0765961016708383,6.78676006970296,0.0982210621007288,0.118195623028527
"TAGLN",0.237329094308049,6.83439636420253,0.0983141135577748,0.118292177040122
"ING4",0.0811019736296796,3.94227826401468,0.098599938621928,0.118620622105958
"VPS72",0.0648156119039824,5.61358004964096,0.0986606375069381,0.118678178893217
"ITGAV",-0.123273309440408,6.07478358398898,0.098704747583949,0.118715768722793
"NCKAP1",-0.0601390269781957,7.75825149674765,0.099126097646016,0.119207009818965
"SFXN4",-0.0792797668740053,5.1612926368047,0.0993720742398991,0.119487249877362
"PUS7L",-0.0980064612182414,3.28892519073153,0.0998014145821371,0.1199878689773
"CHST14",0.126631285142714,2.41307995045755,0.101760143821187,0.122326850841696
"KDM6B",-0.0952598922797467,5.36269830192637,0.102433454822024,0.123120211127878
"DNAJA1",0.10131536184588,5.77653368497518,0.102650166504635,0.123364625309763
"FAM109A",-0.0969041406875457,3.4063339319305,0.102758464232607,0.123478701292788
"GNL3L",0.0779237714450463,3.66319344896602,0.102956529496564,0.123700601819964
"CENPP",0.103526848797526,2.77742095723639,0.103104684983913,0.12386248660678
"GTF2A1",0.0593332346790837,5.15307748402449,0.103334306466935,0.124122183864187
"KBTBD2",-0.080641321893792,6.37340206511779,0.104251607022617,0.125207726310926
"PFKM",0.137173656683608,10.5879095171972,0.104334192439467,0.125290611475051
"WDR31",-0.132103711455665,1.08625993735732,0.104395333112193,0.125347726321366
"RNF217",0.0868839201736921,4.70278685394994,0.104682837613949,0.125676586554086
"ARHGEF25",0.150266758510818,2.97228043130955,0.105165685169632,0.126239849128853
"ARHGAP5",0.0772385601324396,5.91877714566692,0.105208849159312,0.126275242047797
"NAB1",0.12260071638264,3.77521122812334,0.105287421013719,0.126353117963812
"MYRIP",0.190178367957463,1.9548660403014,0.105327963483536,0.126385341338428
"NCK1",0.0612792259804068,4.5265351884451,0.106131203452475,0.127332614903795
"SLAIN2",-0.0597005866681902,6.81889595913676,0.106270830413621,0.127483565373377
"ARL2",0.0842579163402083,5.93463971243948,0.106443616923712,0.127674249976973
"GAL3ST4",-0.194916415417449,0.985538690730089,0.106805058503253,0.128091138761015
"CCDC102A",0.166430833847501,1.41780373519222,0.1069968793096,0.128304519733297
"ZRANB3",-0.0819432676056704,2.61530543537753,0.108305854921376,0.129857299230968
"STUB1",-0.074227575357916,5.94518828780893,0.10856887343443,0.130155749438081
"RCL1",-0.0840138277361824,4.20488313840894,0.108695649411136,0.130290811545799
"YBX1",-0.0817172183315463,9.83700924065181,0.108814719461222,0.130416602875427
"TRAPPC6B",-0.0502498592890594,4.87830886210755,0.108894242051439,0.130494969281686
"JMJD1C",-0.0902807457662034,5.8818918583261,0.109017674833386,0.130625928918352
"WLS",-0.119388410435733,3.86652075548974,0.109036111750704,0.130631063928714
"POMGNT1",0.0551004415803436,6.54503741669129,0.109380009237106,0.131026066087169
"RAB2A",0.056019081316778,7.26598982376566,0.109982363029389,0.13173052979425
"ZNF275",0.0671688017462837,3.92547472534191,0.110056840577985,0.131802633027423
"DAD1",0.0736372522917229,5.40500505492357,0.110329161967966,0.132111622016642
"CNBP",-0.0748711410039333,9.72270046929577,0.110899388681772,0.132777205826386
"PPA1",0.0725088585843414,6.06574412272553,0.11166708648202,0.133679013787514
"DCTN5",-0.0449176422807834,5.27841454657759,0.111833338983443,0.133860678443485
"SLC30A4",0.108197777724513,2.10521376821773,0.112038765356667,0.134089179697575
"GABARAPL2",-0.0583336453357974,6.65052907598718,0.11221863876747,0.134287043617126
"FXR2",0.0694081148544947,7.09579050289561,0.112241841195559,0.13429739936179
"ADRA2A",0.319831213234846,1.44550966375464,0.11255629231773,0.134656186415884
"PHF6",-0.0643066910587248,3.50151131428252,0.112953437120275,0.135113797856324
"PTMS",0.167117487593866,5.66128648402311,0.112990507510582,0.135140629026973
"HECTD4",0.0789364008931384,6.27687637826176,0.113265247249385,0.135451677336322
"ABHD3",0.113857663576067,4.02297075163898,0.113457039235446,0.135663462329327
"PCTP",-0.082164814246405,4.09988755953368,0.113735881342956,0.135979267021996
"KCTD7",0.108998494122886,3.62512596338068,0.114076600901646,0.1363689591975
"KCNN3",0.126254366615232,5.22426488811092,0.114173272937882,0.136466849992178
"ADAM33",0.164380313774563,4.5386239088892,0.11422423934723,0.13651009236332
"EED",0.0677481296907036,3.34523162506654,0.114386643620663,0.136686486377002
"TBX3",0.107640156854737,4.57638281512873,0.114576568860305,0.136895716690328
"COLEC12",-0.192341665641785,3.50863047110641,0.114604508546492,0.136911378075924
"ADAMTS2",0.273863088492742,3.33506062973278,0.114937504399976,0.137291421210686
"HSPA1B",-0.207275539479342,6.14433057513521,0.115155343531581,0.137533830526591
"GABARAP",-0.0596554896979238,6.91639529075804,0.115401992758111,0.137810581520068
"ZNF561",0.0533129135039683,4.02597035369666,0.115525106626929,0.137939756729166
"PDE4B",-0.184926446383411,6.07586901885696,0.115682519347387,0.13810984688253
"TSPYL4",-0.114178756279488,3.51044031230446,0.115716612594913,0.138132684710157
"EIF1B",-0.0628568182659814,5.95585050030079,0.115966432320295,0.138412999321004
"DYNC1I2",0.0637515829923432,5.79554574880621,0.116563350754585,0.139107471340087
"RGCC",-0.151504809675524,4.23413288441511,0.116646988881246,0.139189290894879
"CHST15",0.14023808036408,4.8450680429265,0.116733993404278,0.139275105740583
"FLOT2",0.0824944168253627,6.039265510052,0.116920136195333,0.139479164799576
"CAV2",-0.168293871366193,4.72932287763702,0.11695012613686,0.139496913602449
"GTPBP10",-0.0506043083992154,3.81959393116453,0.116967350364448,0.139499432973414
"SEL1L",0.0515537873733633,6.42970290955261,0.117953615811724,0.140657515509368
"PSMA6",0.0588315410917343,6.31424800639496,0.118188068455143,0.140918891747536
"METTL22",0.0779004930545777,5.36178754759363,0.118451527561271,0.141214781211171
"CCDC18",0.0966301104494287,2.67850804507285,0.119092543526651,0.141960649444023
"ZBTB38",0.0909553029677493,7.15742817725533,0.119314806505072,0.14220722774026
"SLC30A6",-0.0497699292482141,4.35681031600907,0.120189857119589,0.143231677132833
