"genes","logFC","logCPM","PValue","FDR"
"FGD2",-0.330460978856305,1.86616105836716,0.0112667341407658,0.0190064369249651
"EIF2AK2",-0.151460296184262,4.59513300612153,0.0113009472786552,0.0190606695284609
"LITAF",-0.219541332145217,5.25294353398039,0.0113066628850431,0.0190668259210509
"REV1",0.0927162922798546,5.40102993577709,0.0113282167810751,0.0190996838549962
"TIAL1",-0.0583536366419715,6.30245578857489,0.0113709502487743,0.0191661829383775
"GPN1",0.0702233634930187,4.59896839925933,0.0113718106330293,0.0191661829383775
"MAPT",0.180004444502674,7.72233417496493,0.0113801773883366,0.0191767830360963
"CASQ2",0.268585082329458,8.06005841557844,0.0114312422475408,0.0192593168802791
"HMGCL",0.107643391941605,5.31329807380841,0.0114511226084154,0.0192892906566208
"RFT1",-0.131901047857318,2.82251195437334,0.0114655532561496,0.0193100751883811
"WDFY2",-0.214138670508345,3.29849886547558,0.0115192777189519,0.0193970179904497
"NR4A3",0.555500469186954,6.45841110428967,0.0115629972093714,0.0194670850336872
"BICD2",0.0815001484893787,5.59626621924849,0.0115653494887196,0.0194674947356621
"MRVI1",-0.231632902925119,4.47929644586411,0.0115867922245471,0.019500032638978
"LAMTOR1",0.104197892406007,5.95580967505806,0.0116333565524851,0.0195748294451313
"ABCC4",-0.177862958700912,3.99974901150265,0.0116497636261931,0.0195988642306157
"ZNF100",0.148646030339442,2.71786353974022,0.0116816872068578,0.0196489895420016
"BTBD7",0.0810485852679068,5.0326730655775,0.0116858994711324,0.0196524937179856
"BACE1",-0.117862862356177,4.83516503395494,0.0116950398529813,0.0196642828566248
"BCL7A",-0.139512488641318,4.46215138417083,0.0117685700745612,0.0197843143977917
"YIPF5",-0.127304212263851,3.76848198184809,0.0117741889765649,0.0197901563078424
"CAMK2B",-0.207033977976818,7.48471694900069,0.0117804098838585,0.0197970077622242
"TRIM7",0.218259070939348,6.85967871194009,0.0117910162059042,0.0198112250813072
"PPIG",-0.121629601476529,6.06197942895489,0.0118086618380207,0.0198369459845169
"POLR2I",-0.13884859965042,4.20153128864391,0.011810622373622,0.0198369459845169
"EIF6",-0.138258695853313,4.65266445218055,0.0118312347258474,0.0198679512014367
"KCMF1",0.115328161784722,7.19269384074425,0.0118366834289761,0.0198713234565879
"PDK4",-0.490324175407693,10.9888865718576,0.0118375482274702,0.0198713234565879
"SLC12A6",-0.100386939754082,5.15550744855536,0.0118457291230951,0.0198814410064165
"SH3BP2",-0.158555482632695,4.86518101493333,0.0118496057861771,0.0198843321236504
"MET",0.137730480607907,5.27774154221292,0.011860092021838,0.0198983114237708
"ZDHHC2",0.167273937177534,5.12617172561954,0.011989414092303,0.0201116266556513
"POLD4",-0.124583562167409,4.68402120376812,0.0119916548330195,0.020111730698329
"SH3YL1",-0.134776681419445,3.88093608539534,0.0120252330659615,0.0201643826397622
"SPAG16",-0.153305636051579,2.85724033693052,0.0120341540071442,0.0201756766509168
"MAP2K6",-0.229057464842802,5.47220933923562,0.0120829434349831,0.0202537953238295
"SPI1",-0.328604365065506,1.91082878141163,0.0121602760468422,0.0203797218933189
